4A,4,1,1,2,0,1,3
4A,4,-1,1,-2,0,-1,3
4A,4,0,-2,-1,-3,1,-3
4A,4,0,2,-1,3,1,3
4A,4,1,-1,1,-3,2,0
4A,4,-1,-1,-1,-3,-2,0
4B,4,0,2,-1,1,1,1
4B,4,1,-1,1,1,2,0
4B,4,-1,-1,0,-2,1,-1
4B,4,-1,-1,-1,1,-2,0
4B,4,1,1,0,2,1,3
4B,4,0,-2,1,-1,1,1
4B,4,-1,-3,-1,-1,0,-2
4B,4,-1,-1,-1,1,0,2
4B,4,0,-2,1,-1,1,-3
4B,4,-1,-1,-1,-1,0,-2
4B,4,-1,1,-1,3,0,2
4B,4,0,2,1,1,1,-1
4C,4,0,2,0,4,0,6
4C,4,0,-2,0,2,0,4
4C,4,0,-4,0,-2,0,2
4C,4,0,-6,0,-4,0,-2
4C,4,1,1,2,2,3,3
4C,4,-1,-1,1,1,2,2
4C,4,-2,-2,-1,-1,1,1
4C,4,-2,-2,-1,-1,1,1
4C,4,-3,-3,-2,-2,-1,-1
4C,4,1,-1,2,-2,3,-3
4C,4,-1,1,1,-1,2,-2
4C,4,-2,2,-1,1,1,-1
4C,4,-3,3,-2,2,-1,1
4D,4,0,2,-1,3,-1,5
4D,4,1,1,1,3,2,4
4D,4,1,-1,2,0,3,-1
4D,4,0,-2,1,-3,1,-5
4D,4,-1,-1,-1,-3,-2,-4
4D,4,-1,1,-2,0,-3,1
4D,4,0,2,1,3,1,5
4D,4,1,1,2,0,3,1
4D,4,1,-1,1,-3,2,-4
4D,4,0,-2,-1,-3,-1,-5
4D,4,-1,-1,-2,0,-3,-1
4D,4,-1,1,-1,3,-2,4
4E,4,0,2,1,3,2,2
4E,4,1,1,2,0,2,-2
4E,4,1,-1,1,-3,0,-4
4E,4,0,-2,-1,-3,-2,-2
4E,4,-1,-1,-2,0,-2,2
4E,4,-1,1,-1,3,0,4
4E,4,0,2,-1,3,-2,2
4E,4,1,1,1,3,0,4
4E,4,1,-1,2,0,2,2
4E,4,0,-2,1,-3,2,-2
4E,4,-1,-1,-2,0,-2,2
4E,4,-1,1,-1,3,0,4
